Mine ID,Mine Name,Mine Name AKAs,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Operators,Owners,Production or Capacity Data,"Coal Output (Annual, Mt)","Coal Ouput (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Coal Type,Coal Grade,Worforce Size,Reserves Total (Proven & Probable),Proven Reserve,Probable Reserve,Resource (Measured),Resource (Indicated),Resource (Measure + Indicated),"Resource (Total - Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Coalfield,Location,County,"Prefecture, District","State, Province",Country,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Opening Year,Reported Life of Mine (Remaining)
M0954,Aegean Lignite Coal Mines,"Soma (Eynez), Deniş",https://www.gem.wiki/Aegean_coal_mines,,Operating,,,,Aegean Lignite Enterprises (Ege Linyitleri İşletmesi Müessesesi Müdürlüğü),TKI,Production,14.2,,Underground & Surface,Mixed,,50,Estimate,Lignite,Thermal,,640,-,-,-,-,-,-,45,"Soma, Denis",Soma,,,Manisa,Turkey,Europe (non-EU),39.083006,27.539574,Exact,Coal Plant,Soma Kolin Power Station and Soma power station,https://www.gem.wiki/Soma_Kolin_power_station,1913,
M0955,Afşin-Elbistan Coal Mine,Kışlaköy,https://www.gem.wiki/Afşin-Elbistan_coal_mines,,Operating,,,,Afşin- Elbistan Elektrik Üretim ve Ticaret A.Ş,"Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ)",Production,14,,Underground & Surface,Mixed,,50,Estimate,Lignite,Thermal,2800,-,-,-,-,-,-,3400,,Elbistan,,,,Kahramanmaraş,Turkey,Europe (non-EU),38.340685,37.082979,Exact,Coal Plant,"Afşin-Elbistan A, B",https://www.gem.wiki/Afşin-Elbistan_power_complex,1984,
M0956,Afyon Uluköy Coal Mine,,https://www.gem.wiki/Afyon_Uluköy_coal_mine,,Proposed,Pre-Permit,New,,KLK Enerji Üretim A.Ş.,"Kolin Group (50%), Limak Holding (5%), Kalyon Group (5%), Others (40%)",Capacity,5.5,,Underground,,,446,Estimate,Lignite,Thermal,,48,-,-,-,-,-,-,9,,Uluköy,,Dinar,Afyon,Turkey,Europe (non-EU),38.1999839,30.2705505,Exact,Coal Plant,Uluköy Power Station,https://www.gem.wiki/Uluk%C3%B6y_power_station,TBD,
M0654,AGM Coal Mine,,https://www.gem.wiki/Antang_Gunung_Meratus_(AGM)_coal_mine,,Operating,,,,Antang Gunung Meratus,Baramulti Suksessarana Tbk,Production,9.67,,Surface,Open Pit,224,50,Estimate,Lignite,Thermal,,81922,52434,29488,109500,251200,360700,860700,8472,Barito,Rantau,,Tapin,South Kalimantan,Indonesia,South East Asia,-2.889157,115.259809,Exact,Terminal (Export),Sungai Puting Port,,1999,9
M0655,Agung Bara Prima Coal Mine,,https://www.gem.wiki/Agung_Bara_Prima_coal_mine,,Operating,,,,Agung Bara Prima,United Tractors Tbk,Production,1,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,7.9,-,-,-,-,-,-,8,Buhut,,Kapaus Tengah,Kapaus,Central Kalimantan,Indonesia,South East Asia,-1.120132,114.474622,Approximate,,,,,
M0163,Aimin Wendu Coal Mine,内蒙古平煤阿鲁科尔沁旗煤业有限责任公司爱民温都煤矿,https://www.gem.wiki/Aimin_Wendu_Coal_Mine,https://www.gem.wiki/内蒙古平煤阿鲁科尔沁旗煤业有限责任公司爱民温都煤矿,Operating,,,,Inner Mongolia Pingmei Ar Khorchin Banner Coal Mine Company,"Hebei Qian'an Chemical Industry Group (70%), Ar Horqin Banner Tianshan Mining Development Company (30%)",Capacity,1.2,,Underground,,11.98,490,Estimate,Lignite,Thermal,,-,-,-,91.31,-,-,186.49,,,Tianshan Town,Ar Horqin,Chifeng,Inner Mongolia,China,East Asia,43.679231,120.764833,Approximate,,,,,54.36
M0002,Airly Coal Mine,,https://www.gem.wiki/Airly_Mine,,Operating,,,,Centennial Airly Pty Ltd,Centennial Coal,Production,1.8,,Underground,Longwall,,500,Estimate,Bituminous,Thermal,140,31.78,1.8,-,-,-,-,84.57,18,Western Coalfield,Capertee,,,New South Wales,Australia,Australia & NZ,-33.12900777,149.975,Exact,,,,1998,25
M0466,AKK Coal Mine,,https://www.gem.wiki/AKK_coal_mine,,Operating,,,,Central Coalfields Limited (CCL),Coal India,Production,4.5,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,-,-,-,-,-,-,-,,Bokaro,,,,Jharkhand,India,South Asia,23.7905,85.9198,Exact,,,,,
M0767,Alardinskaya Coal Mine,"Yuzhkuzbassugol, Алардинская",https://www.gem.wiki/Alardinskaya_coal_mine,,Operating,,,,Raspadskaya Coal Company,Evraz,Production,2.9,,Underground,Longwall,700,448,Estimate,Bituminous,Met,1000,87.6,-,-,-,-,-,-,30,,Malinovka,,Kaltansky,Kemerevo,Russia,Eurasia,53.414136,87.315216,Exact,Steel Plant,Evraz Steel Plant,https://www.gem.wiki/Evraz_NTMK_steel_plant,1957,
M0885,Alexander Coal Project,,https://www.gem.wiki/Alexander_Coal_Project,,Proposed,Pre-Permit,New,,Sasol Mining,Sasol,Capacity,8,,Underground,,,80,Estimate,Bituminous,,,-,-,-,-,-,-,-,,Witbank,Kriel,"	Emalahleni",Nkangala,Mpumalanga,South Africa,Africa & Middle East,-26.312146,29.352647,Exact,,,,2025,
M1338,Algmin open-pit coal mine,新疆凯领投资有限公司阿尔格敏露天煤矿,https://www.gem.wiki/Algmin_Open-Pit_Coal_Mine,https://www.gem.wiki/%E6%96%B0%E7%96%86%E5%87%AF%E9%A2%86%E6%8A%95%E8%B5%84%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%98%BF%E5%B0%94%E6%A0%BC%E6%95%8F%E9%9C%B2%E5%A4%A9%E7%85%A4%E7%9F%BF,Operating,,,,"Xinjiang Kailing Investment Co., Ltd.","Yu Kai (50%), Lin Xingzheng (40%), Yu Yuangu (10%)",Capacity,1.2,,Surface,Open Pit,,59,Estimate,Bituminous,Met,50,-,-,-,-,-,-,132,,,,Baicheng County,Aksu Prefecture,Xinjiang,China,East Asia,42.247604,82.495625,Approximate,,,,2018,
M0003,Alpha North Coal Mine,"China First Project, Alpha North Coal Project",https://www.gem.wiki/Alpha_North_coal_project,,Proposed,Announced,New,Stage 1,Waratah Coal,Mineralogy,Capacity,10,,Underground & Surface,Mixed,1440,45,Exact,Subbituminous,Thermal,1000,-,-,-,-,-,-,3480,,Galilee,Alpha,,,Queensland,Australia,Australia & NZ,-22.385333,146.340917,Exact,Terminal (Export),Abbot Point Coal Terminal,https://www.gem.wiki/Abbot_Point_Coal_Terminal,2024,
M0003,Alpha North Coal Mine,"China First Project, Alpha North Coal Project",https://www.gem.wiki/Alpha_North_coal_project,,Proposed,Announced,Expansion,Stage 2,Waratah Coal,Mineralogy,Capacity,30,,Underground & Surface,Mixed,1440,45,Exact,Subbituminous,Thermal,1000,-,-,-,-,-,-,-,,Galilee,Alpha,,,Queensland,Australia,Australia & NZ,-22.385333,146.340917,Exact,Terminal (Export),Abbot Point Coal Terminal,https://www.gem.wiki/Abbot_Point_Coal_Terminal,2030,25
M0768,Amaam Coal Mine,Амаам,https://www.gem.wiki/Amaam_coal_mine,,Proposed,Exploration,New,,,"Tigers Realm Coal (80%), North Pacific Coal Company (20%)",Capacity,6.5,,Underground & Surface,Mixed,231,59,Estimate,Bituminous,Met,,32.5,-,-,3,91,94,521,5,,Alkatvaam,,,Chukotka,Russia,Eurasia,62.721858,178.929691,Approximate,,,,TBD,
M0769,Amaam North Coal Mine,"Fandyushkinskoye, Амаам",https://www.gem.wiki/Amaam_North_coal_mine,,Operating,,,,Tigers Realm Coal,Tigers Realm Coal,Production,2,,Underground & Surface,Mixed,,59,Estimate,Bituminous,Thermal & Met,,15.3,5.8,9.5,9.1,11.5,20.6,20.6,8,Kyzylin,Alkatvaam,,Anadyrsky,Chukotka,Russia,Eurasia,62.966772,178.766098,Exact,,,,2016,
M0467,Amadand Coal Mine,,https://www.gem.wiki/Amadand_coal_mine,,Operating,,,,South Eastern Coalfields Limited (SECL),Coal india,Production,1.6,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,70.46,-,-,-,-,-,160.57,44,Anuppur,,,,Madhya Pradesh,India,South Asia,23.1436,82.0579,Exact,,,,,
M0468,Amalgamated Keshalpur-West Mudidih (AKWMC) Coal Mine,Cluster 5,https://www.gem.wiki/Cluster_No._5_(BCCL),,Operating,,,,Bharat Coking Coal Limited (BCCL),Coal India,Production,4.2,,Underground & Surface,Mixed,,150,Estimate,Subbituminous,Thermal,,178.327,-,-,-,-,-,-,42,Dhanbad,,,,Jharkhand,India,South Asia,23.8078,86.3221,Exact,,,,,
M0469,Amalgamated Yekona I and II Coal Mines,,https://www.gem.wiki/Amalgamated_Yekona_Mine,,Proposed,Pre-Permit,New,,Western Coalfields Limited (WCL),Coal India,Capacity,3.44,,Surface,Open Pit,17,50,Estimate,Lignite,Thermal,,58,-,-,-,-,-,-,17,Wardha Valley,Warora,,Chandrapur,Maharashtra,India,South Asia,20.228333,78.9166666,Approximate,,,,2021,25
M0957,Amasra B Coal Mine,,https://www.gem.wiki/Amasra_B_coal_mine,,Proposed,Pre-Permit,New,,Hema Enerji,Hattat Holdings Energy Group,Capacity,10,,Surface,Open Pit,,50,Estimate,Lignite,Thermal,,56,-,-,-,-,-,-,6,,Amasra,,,Bartin,Turkey,Europe (non-EU),41.721848,32.349063,Approximate,Coal Plant,HEMA Amasara Power Station,https://www.gem.wiki/HEMA_Amasra_power_station,TBD,
M0958,Amasra Coal Mine,,https://www.gem.wiki/Amasra_coal_mine,,Operating,,,,Amasra Taşkömürü Isletme Müessesesi,TTK,Production,0.046,,Underground,Longwall,,625,Exact,Bituminous,Thermal,,70,6,64,-,-,-,-,1522,,Amasra,,,Bartin,Turkey,Europe (non-EU),41.721848,32.349063,Approximate,Coal Plant,HEMA Amasara Power Station,https://www.gem.wiki/HEMA_Amasra_power_station,1953,
M0470,Ambika Coal Mine,,https://www.gem.wiki/Ambika_OC_coal_mine,,Proposed,Permitted,New,,South Eastern Coalfields Limited (SECL),Coal India,Capacity,1,,Surface,Open Pit,1.50,56,Exact,Lignite,Thermal,,8,-,-,-,-,-,15,8,Korba,,Katghora,Korba,Chhattisgarh,India,South Asia,22.3527778,82.33861,Exact,,,,2015,
M1339,AMC Coal Mines,Maruwai Coal Mine,https://www.gem.wiki/AMC_coal_mines,,Operating,,,,Adaro Metcoal Companies,Adaro Group,Production,1.88,,Surface,Open Pit,,59,Estimate,Bituminous,Met,,89,-,-,-,-,-,864,47,,Lampunut,,Murung Raya,Central Kalimantan,Indonesia,South East Asia,0.224239,113.550687,Approximate,,,,,
M0471,Amelia North Coal Mine,,https://www.gem.wiki/Amelia_(North)_coal_mine,,Operating,,,,Jaiprakash Power Ventures Ltd (JPVL),Jaiprakash Power Ventures Ltd (JPVL),Production,2.8,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,139.48,-,-,162.05,-,-,-,50,Singrauli,,,,Madhya Pradesh,India,South Asia,24.1346,82.4264,Exact,,,,,
M0986,American Eagle Coal Mine,,https://www.gem.wiki/American_Eagle_Mine,,Operating,,,,Panther Creek Mining,Sev.en Energy,Production,1.4,1.5,Underground,,,373,Estimate,Bituminous,,146,-,-,-,-,-,-,-,,Appalachia,,Kanawha,,West Virginia,United States,US & Canada,38.16,-81.47,Exact,,,,,
M0472,Amlai Coal Mine,,https://www.gem.wiki/Amlai_coal_mine,,Operating,,,,South Eastern Coalfields Limited (SECL),Coal india,Production,1.3,,Underground,,,300,Estimate,Subbituminous,Thermal,,-,-,-,-,-,-,11.29,,Shahdol,,,,Madhya Pradesh,India,South Asia,23.1502,81.5514,Approximate,,,,,
M0473,Amlo Dhori Coal Mine,,https://www.gem.wiki/Amlo_Dhori_Coal_Mine,,Operating,,,,Central Coalfields Limited (CCL),Coal india,Production,1.4,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,30.63,-,-,-,-,-,-,22,Bokaro,,,,Jharkhand,India,South Asia,23.76663448,85.98552098,Approximate,,,,,
M0474,Amlohri Coal Mine,,https://www.gem.wiki/Amlohri_coal_mine,,Operating,,,,Northern Coalfields Limited (NCL),Coal India,Production,13.47,,Surface,Open Pit,9.28,50,Estimate,Subbituminous,Thermal,,314,-,-,-,-,-,329,23,Singrauli,Amlohri,Waidhan,Sidhi,Madhya Pradesh,India,South Asia,24.134,82.593,Exact,Coal Plant,Rihand Power Station,https://www.gem.wiki/Rihand_power_station,1982,
M0475,Amrapali Coal Mine,Magadh Amrapali Area,https://www.gem.wiki/Magadh_Amrapali_coal_mines,,Operating,,,,Central Coalfields Limited (CCL),Coal India,Production,12.79,,Surface,Open Pit,10.11,135,Exact,Lignite,Thermal,,125,-,-,-,-,-,487,10,North Karanpura,,,Chatra,Jharkhand,India,South Asia,23.889479,85.00171,Exact,Coal Plant,Barh Power Station,https://www.gem.wiki/Barh_I_power_station,2013,11
M0475,Amrapali Coal Mine,Magadh Amrapali Area,https://www.gem.wiki/Magadh_Amrapali_coal_mines,,Proposed,Announced,Expansion,,Central Coalfields Limited (CCL),Coal India,Capacity,13,,Surface,Open Pit,10.11,135,Exact,Lignite,Thermal,,-,-,-,-,-,-,-,,North Karanpura,,,Chatra,Jharkhand,India,South Asia,23.889479,85.00171,Exact,Coal Plant,Barh Power Station,https://www.gem.wiki/Barh_I_power_station,2013,
M0476,Ananta Coal Mine,,https://www.gem.wiki/Ananta_coal_mine,,Operating,,,,Mahanadi Coalfields Limited (MCL),Coal India,Production,10.932,,Surface,Open Pit,38.20,50,Estimate,Lignite,Thermal,417,-,-,-,-,-,-,347,,Talcher,,,Angul,Odisha,India,South Asia,20.943609,85.163715,Exact,,,,,
M1083,Angren Coal Mine,,https://www.gem.wiki/Angren_coal_mine,,Proposed,Construction,New,,Uzbekugol,Uzbekugol,Capacity,4,,Surface,Open Pit,,115,Exact,Lignite,Thermal,,-,-,-,-,-,-,2000,,Angren,Angren,,,Tashkent,Uzbekistan,Eurasia,41.036101,70.180128,Exact,,,,2020,
M0004,Angus Place Coal Mine,,https://www.gem.wiki/Angus_Place_Colliery,,Proposed,Announced,Expansion,,Centennial Angus Place,Centennial Coal Company,Capacity,3,,Underground,,104.60,400,Estimate,Subbituminous,Thermal,270,54,-,-,-,-,-,-,18,Western,Lithgow,,,New South Wales,Australia,Australia & NZ,-33.349157,150.199019,Exact,,,,2022,
M0004,Angus Place Coal Mine,,https://www.gem.wiki/Angus_Place_Colliery,,Operating,,,,Centennial Angus Place,"Centennial Springvale (50%), Springvale SK Kores (50%)",Production,2.5,,Underground,,,500,Estimate,Bituminous,Thermal,,27,-,-,-,-,-,-,11,,Lithgow,,,New South Wales,Australia,Australia & NZ,-33.349157,150.199019,Exact,,,,,4
M0164,Anhui Banji Coal Mine,中煤新集能源股份有限公司板集煤矿,https://www.gem.wiki/Anhui_Banji_Coal_Mine,https://www.gem.wiki/中煤新集能源股份有限公司板集煤矿,Operating,,,,China Coal Xinji Energy Company,"China Coal (30%), National Energy Investment Group (5%), Jingneng Power (1%), Beijing Energy (6%), Guohua Industry (3%), Huainan Industial Development Group (7%), China Shipping (5%)",Capacity,3,,Underground,,33.60,490,Estimate,Bituminous,,,-,-,-,199,-,-,506,,,Huji Town,Lixin,Bozhou,Anhui,China,East Asia,32.899945,116.228774,Exact,,,,2021,51
M0165,Anjialing Open-Pit Mine,中煤平朔集团有限公司安家岭露天矿,https://www.gem.wiki/Anjialing_open-pit_mine,https://www.gem.wiki/中煤平朔集团有限公司安家岭露天矿,Operating,,,,China Coal Pingshuo Group,China Coal,Production,20,,Surface,Open Pit,,59,Estimate,Bituminous,Thermal,,428,-,-,-,-,-,680,21,,Baitang Town,Pinglu Distict,Shuozhou,Shanxi,China,East Asia,39.449488,112.360569,Exact,,,,2006,
M0745,Anju Coal Mining Complex,,https://www.gem.wiki/Anju_Coal_Mining_Complex,,Operating,,,,Government of North Korea,Government of North Korea,Production,10,,Underground,,,446,Estimate,Anthracite,,,-,-,-,-,-,-,1230,,,,,,South Pyongan,North Korea,East Asia,39.621907,125.656948,Approximate,,,,,
M1099,Anshan Coal Mine,陕西涌鑫矿业有限责任公司安山煤矿,https://www.gem.wiki/Anshan_Coal_Mine,https://www.gem.wiki/%E9%99%95%E8%A5%BF%E6%B6%8C%E9%91%AB%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%AE%89%E5%B1%B1%E7%85%A4%E7%9F%BF,Operating,,,,"Shaanxi Yongxin Mining Co., Ltd.","Shaanxi Coal and Chemical Industry Group Co,.Ltd.",Capacity,3.9,,Underground,,54,490,Estimate,Bituminous,Thermal,681,116.22,-,-,-,-,-,224.43,30,,Miaogoumen Town,Fugu,Yulin,Shaanxi,China,East Asia,39.264201,110.784527,Exact,,,,2012,
M0166,Antaibao Surface Mine,中煤平朔集团有限公司安太堡露天矿,https://www.gem.wiki/Antaibao_open-pit_mine,https://www.gem.wiki/中煤平朔集团有限公司安太堡露天矿,Operating,,,,China Coal Pingshuo Group,China Coal,Production,25,,Surface,Open Pit,,59,Estimate,Bituminous,,,491,-,-,-,-,-,906,20,,Baitang Town,Pinglu Distict,Shuozhou,Shanxi,China,East Asia,39.474754,112.311939,Exact,,,,1987,36
M0987,Antelope Coal Mine,,https://www.gem.wiki/Antelope_Coal_Mine,,Operating,,,,Navajo Transitional Energy Company,Navajo Nation,Production,21.05,23.2,Surface,Strip,186.16,121,Exact,Subbituminous,Thermal,591,385,-,-,-,-,-,-,18,Powder River Basin,Wright,Campbell,,Wyoming,United States,US & Canada,43.494921,-105.361879,Exact,Coal Plant,Walter Scott Jr Energy Center,https://www.gem.wiki/Walter_Scott_Jr._Energy_Center,1985,
M0656,Anzawara Satria Coal Mine,,https://www.gem.wiki/Anzawara_Satria_coal_mine,,Operating,,,,Petorsea,Anzawara Satria,Capacity,7,,Surface,Open Pit,24,50,Estimate,Subbituminous,Thermal,,-,-,-,-,-,-,-,,Barito,"Bunati, Karang Indah, Setarap",,Tanah Laut,South Kalimantan,Indonesia,South East Asia,-3.730729,115.611243,Approximate,,,,2009,
M0005,Appin Coal Mine,West Cliff,https://www.gem.wiki/Appin_mine,,Operating,,,,Illawarra Coal,South32,Production,1.4,,Underground,Longwall,,550,Exact,Bituminous,Met,875,157,24,133,157,-,-,702,112,Southern,Appin,,,New South Wales,Australia,Australia & NZ,-34.211194,150.792736,Exact,Terminal (Export),Port Kembla Coal Terminal,https://www.gem.wiki/Port_Kembla_Coal_Terminal,1962,
M1376,Apsatskiy,"Apsat, Apsatsky",https://www.gem.wiki/Apsatsky_coal_mine,,Operating,,,,JSC SUEK,Siberian Coal Energy Company (SUEK),Production,0.6,,Surface,Open Pit,,59,Estimate,Bituminous,Thermal & Met,,70,-,-,-,-,-,-,117,,Novaya Chara,Kalarsky,,Zabaykalsky Krai,Russia,Eurasia,57.121421,118.197292,Approximate,,,,,
M0770,Apsatsky Coal Mine,Апсатское,https://www.gem.wiki/Apsatsky_coal_mine,,Proposed,Pre-Permit,New,,JSC SUEK,Siberian Coal Energy Company (SUEK),Capacity,2.9,,Surface,Open Pit,,59,Estimate,Bituminous,Met,,-,-,-,-,-,-,-,,,Novaya Chara,,Kalarsky,Zabaykalsky Krai,Russia,Eurasia,57.121421,118.197292,Approximate,,,,2024,
M0770,Apsatsky Coal Mine,Апсатское,https://www.gem.wiki/Apsatsky_coal_mine,,Operating,,,,JSC SUEK,Siberian Coal Energy Company (SUEK),Production,0.6,,Surface,Open Pit,,59,Estimate,Bituminous,Met,,70,70,-,-,-,-,-,117,,Novaya Chara,,Kalarsky,Zabaykalsky Krai,Russia,Eurasia,57.121421,118.197292,Approximate,,,,,
M0006,Aquila Coal Mine,,https://www.gem.wiki/Aquila_Mine,,Proposed,Permitted,New,,Mastermyne,"Anglo American (70%), Mitsui & Company (30%)",Capacity,3.5,,Underground,Longwall,,175,Exact,Bituminous,Met,,45.2,-,-,-,-,-,42,13,,Middlemount,,,Queensland,Australia,Australia & NZ,-22.990997,148.580506,Approximate,,,,2024,6
M0135,Aries Coal Mine,,https://www.gem.wiki/Aries_coal_project,,Proposed,Pre-Permit,New,,Ram River Coal,Ram River Coal,Capacity,4,,Surface,Open Pit,200,59,Estimate,Bituminous,Met,,183,178,4,312,100,413,-,46,,Rocky Mountain House,,,Alberta,Canada,US & Canada,52.400401,-114.830002,Approximate,Terminal (Export),Ridley Terminal,https://www.gem.wiki/Ridley_Terminal,TBD,33
M0771,Arshanovsky Coal Mine,Аршановский,https://www.gem.wiki/Arshanovsky_coal_mine,,Operating,,,,Arshanovsky Coal Mining,Razrez Arshanovsky,Production,10,,Surface,Open Pit,,59,Estimate,Bituminous,,303,-,-,-,-,-,-,2000,,Beiskoye,Arshanovo,,,Khakassia,Russia,Eurasia,53.732562,91.084281,Exact,,,,2015,
M0657,Asam-Asam Coal Mine,,https://www.gem.wiki/Asam_Asam_coal_mine,,Operating,,,,Arutmin Indonesia,Bumi Resources,Production,9.2,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,112,-,-,-,-,-,321,12,Barito,,,Tanah Bumbu,South Kalimantan,Indonesia,South East Asia,-3.877627,115.110224,Exact,Terminal (Export),North Pulau Laut Coal Terminal,https://www.gem.wiki/North_Pulau_Laut_Coal_Terminal,2004,
M0477,Ashoka Coal Mine,"Piparwar Area, Ashok",https://www.gem.wiki/Ashoka_coal_mine,,Operating,,,,Central Coalfields Limited (CCL),Coal India,Production,10.52,,Surface,Open Pit,7.90,50,Estimate,Subbituminous,Thermal,,109,-,-,-,-,-,213,10,Piparwar,,Tandwa,Chatra,Jharkhand,India,South Asia,23.724268,85.037525,Exact,,,,1991,9
M0007,Ashton Coal Mine,Ashton South East,https://www.gem.wiki/Ashton_coal_project,,Proposed,Permitted,Expansion,,Ashton Coal Operations,Yancoal,Capacity,2.4,,Surface,Open Pit,,59,Estimate,Bituminous,Thermal & Met,160,-,-,-,-,-,-,-,,Hunter,Singleton,,,New South Wales,Australia,Australia & NZ,-32.468942,151.078493,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,2026,7
M0007,Ashton Coal Mine,,https://www.gem.wiki/Ashton_coal_project,,Operating,,,,Ashton Coal Operations,Yancoal,Production,0.8,,Underground,Longwall,3.15,200,Exact,Bituminous,Thermal & Met,,49,10,39,85,-,-,260,61,Hunter,Singleton,,,New South Wales,Australia,Australia & NZ,-32.468942,151.078493,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,2004,9
